Des	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
andern	AttributiveAdjective MorphosyntacticCategory Adjective 
Tages	CommonNoun MorphosyntacticCategory Noun 
sah	FiniteVerb MorphosyntacticCategory Verb 
Johannes	ProperNoun Noun MorphosyntacticCategory 
Jesum	ProperNoun Noun MorphosyntacticCategory 
zu	Preposition Adposition MorphosyntacticCategory 
sich	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun ReflexivePronoun 
kommen	NonFiniteVerb Verb MorphosyntacticCategory Participle 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
sprach	FiniteVerb MorphosyntacticCategory Verb 
Siehe	FiniteVerb Verb MorphosyntacticCategory ImperativeVerb 
daß	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Lamm	CommonNoun MorphosyntacticCategory Noun 
Gutes	CommonNoun MorphosyntacticCategory Noun 
siehe	FiniteVerb Verb MorphosyntacticCategory ImperativeVerb 
den	Pronoun PronounOrDeterminer MorphosyntacticCategory DemonstrativePronoun 
die	Pronoun PronounOrDeterminer MorphosyntacticCategory WHPronoun RelativePronoun 
da	Adverb MorphosyntacticCategory 
tragen	FiniteVerb MorphosyntacticCategory Verb 
die	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Sünde	CommonNoun MorphosyntacticCategory Noun 
der	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Welt	CommonNoun MorphosyntacticCategory Noun 
Wechsler	SecondaryPunctuation Punctuation MorphosyntacticCategory SentenceMedialPunctuation 
	
dies	Pronoun PronounOrDeterminer MorphosyntacticCategory DemonstrativePronoun 
ist	FiniteVerb MorphosyntacticCategory Verb 
die	Pronoun PronounOrDeterminer MorphosyntacticCategory DemonstrativePronoun 
von	Preposition Adposition MorphosyntacticCategory 
dem	Pronoun PronounOrDeterminer MorphosyntacticCategory DemonstrativePronoun 
ich	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
sprach	FiniteVerb MorphosyntacticCategory Verb 
Nie	Preposition Adposition MorphosyntacticCategory 
mir	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
kommt	FiniteVerb MorphosyntacticCategory Verb 
ein	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Mann	CommonNoun MorphosyntacticCategory Noun 
die	Pronoun PronounOrDeterminer MorphosyntacticCategory WHPronoun RelativePronoun 
vor	Preposition Adposition MorphosyntacticCategory 
mir	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
gemacht	NonFiniteVerb Verb MorphosyntacticCategory Participle 
ist	FiniteVerb MorphosyntacticCategory Verb 
Wechsler	SecondaryPunctuation Punctuation MorphosyntacticCategory SentenceMedialPunctuation 
denn	CoordinatingConjunction MorphosyntacticCategory Conjunction 
der	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
war	FiniteVerb MorphosyntacticCategory Verb 
er	Adverb MorphosyntacticCategory 
den	SubordinatingConjunction Conjunction MorphosyntacticCategory SubordinatingConjunctionWithInfinite 
ich	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
	
tue	Adverb MorphosyntacticCategory 
zeugte	FiniteVerb MorphosyntacticCategory Verb 
Johannes	ProperNoun Noun MorphosyntacticCategory 
Zeugnis	CommonNoun MorphosyntacticCategory Noun 
von	Preposition Adposition MorphosyntacticCategory 
ihm	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
sprach	FiniteVerb MorphosyntacticCategory Verb 
ich	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
sah	FiniteVerb MorphosyntacticCategory Verb 
den	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Geist	CommonNoun MorphosyntacticCategory Noun 
wiederkommen	NonFiniteVerb Verb MorphosyntacticCategory Participle 
also	SubordinatingConjunction Conjunction MorphosyntacticCategory SubordinatingConjunctionWithInfinite 
ihnen	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Tauben	CommonNoun MorphosyntacticCategory Noun 
von	Preposition Adposition MorphosyntacticCategory 
dem	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Himmel	CommonNoun MorphosyntacticCategory Noun 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
blieb	FiniteVerb MorphosyntacticCategory Verb 
auf	Preposition Adposition MorphosyntacticCategory 
ihm	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
	
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
ich	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
nicht	Particle Unique MorphosyntacticCategory 
wußte	FiniteVerb MorphosyntacticCategory Verb 
seiner	Pronoun PronounOrDeterminer MorphosyntacticCategory PossessivePronoun 
nicht	Particle Unique MorphosyntacticCategory 
sondern	Adverb MorphosyntacticCategory 
die	Pronoun PronounOrDeterminer MorphosyntacticCategory DemonstrativePronoun 
mir	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
sende	FiniteVerb MorphosyntacticCategory Verb 
in	Preposition Adposition MorphosyntacticCategory 
dem	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Wasser	CommonNoun MorphosyntacticCategory Noun 
zu	Unique MorphosyntacticCategory Particle 
taufte	NonFiniteVerb Verb MorphosyntacticCategory Participle 
Wechsler	SecondaryPunctuation Punctuation MorphosyntacticCategory SentenceMedialPunctuation 
die	Pronoun PronounOrDeterminer MorphosyntacticCategory DemonstrativePronoun 
sprach	FiniteVerb MorphosyntacticCategory Verb 
zu	Preposition Adposition MorphosyntacticCategory 
mir	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
Orte	Adverb MorphosyntacticCategory 
weine	Adverb MorphosyntacticCategory 
du	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
sust	FiniteVerb MorphosyntacticCategory Verb 
den	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Geist	CommonNoun MorphosyntacticCategory Noun 
bleibend	NonFiniteVerb Verb MorphosyntacticCategory Participle 
die	Pronoun PronounOrDeterminer MorphosyntacticCategory WHPronoun RelativePronoun 
