ich	Noun MorphosyntacticCategory 
nicht	Adverb MorphosyntacticCategory 
suche	Verb MorphosyntacticCategory 
nicht	Adverb MorphosyntacticCategory 
meine	Noun MorphosyntacticCategory 
ihre	Noun MorphosyntacticCategory 
der	Noun MorphosyntacticCategory 
ist	Verb MorphosyntacticCategory 
die	Determiner PronounOrDeterminer MorphosyntacticCategory 
NULL	Noun MorphosyntacticCategory 
Der	Noun MorphosyntacticCategory 
sie	Noun MorphosyntacticCategory 
suchen	Verb MorphosyntacticCategory 
soll	Verb MorphosyntacticCategory 
und	Verb MorphosyntacticCategory 
richten	Verb MorphosyntacticCategory 
	
Wahrlich	Noun MorphosyntacticCategory 
Wahrlich	Noun MorphosyntacticCategory 
sage	Verb MorphosyntacticCategory 
ich	Noun MorphosyntacticCategory 
euch	Noun MorphosyntacticCategory 
So	Adverb MorphosyntacticCategory 
Wer	Noun MorphosyntacticCategory 
meine	Determiner PronounOrDeterminer MorphosyntacticCategory 
Rede	Noun MorphosyntacticCategory 
halten	Verb MorphosyntacticCategory 
die	Determiner PronounOrDeterminer MorphosyntacticCategory 
nicht	Adverb MorphosyntacticCategory 
soll	Verb MorphosyntacticCategory 
nimmermehr	Noun MorphosyntacticCategory 
den	Noun MorphosyntacticCategory 
tut	Verb MorphosyntacticCategory 
schmecken	Verb MorphosyntacticCategory 
	
Da	Noun MorphosyntacticCategory 
sprachen	Verb MorphosyntacticCategory 
die	Determiner PronounOrDeterminer MorphosyntacticCategory 
Juden	Noun MorphosyntacticCategory 
zu	Preposition Adposition MorphosyntacticCategory 
ihm	Noun MorphosyntacticCategory 
Nun	Adverb MorphosyntacticCategory 
erkenne	Verb MorphosyntacticCategory 
wir	Noun MorphosyntacticCategory 
daß	Noun MorphosyntacticCategory 
du	Noun MorphosyntacticCategory 
den	Noun MorphosyntacticCategory 
Teufel	Noun MorphosyntacticCategory 
hat	Verb MorphosyntacticCategory 
Abraham	Noun MorphosyntacticCategory 
ist	Noun MorphosyntacticCategory 
tut	Verb MorphosyntacticCategory 
und	Verb MorphosyntacticCategory 
die	Determiner PronounOrDeterminer MorphosyntacticCategory 
Propheten	Adjective MorphosyntacticCategory 
und	Preposition Adposition MorphosyntacticCategory 
du	Noun MorphosyntacticCategory 
redest	Verb MorphosyntacticCategory 
So	Adverb MorphosyntacticCategory 
Wer	Noun MorphosyntacticCategory 
deine	Determiner PronounOrDeterminer MorphosyntacticCategory 
Rede	Noun MorphosyntacticCategory 
halten	Verb MorphosyntacticCategory 
die	Noun MorphosyntacticCategory 
soll	Verb MorphosyntacticCategory 
den	Noun MorphosyntacticCategory 
tut	Verb MorphosyntacticCategory 
nimmermehr	Noun MorphosyntacticCategory 
schmecken	Verb MorphosyntacticCategory 
	
bist	Noun MorphosyntacticCategory 
du	Punctuation MorphosyntacticCategory 
größer	Determiner PronounOrDeterminer MorphosyntacticCategory 
den	Noun MorphosyntacticCategory 
unser	Determiner PronounOrDeterminer MorphosyntacticCategory 
Vater	Noun MorphosyntacticCategory 
Abraham	Noun MorphosyntacticCategory 
die	Noun MorphosyntacticCategory 
tut	Verb MorphosyntacticCategory 
ist	Verb MorphosyntacticCategory 
und	Verb MorphosyntacticCategory 
die	Determiner PronounOrDeterminer MorphosyntacticCategory 
Propheten	Noun MorphosyntacticCategory 
die	Determiner PronounOrDeterminer MorphosyntacticCategory 
da	Adverb MorphosyntacticCategory 
tut	Verb MorphosyntacticCategory 
sind	Verb MorphosyntacticCategory 
zu	Preposition Adposition MorphosyntacticCategory 
wem	Noun MorphosyntacticCategory 
machst	Verb MorphosyntacticCategory 
du	Punctuation MorphosyntacticCategory 
dir	Noun MorphosyntacticCategory 
selbst	Noun MorphosyntacticCategory 
	
tue	Verb MorphosyntacticCategory 
antwortete	Verb MorphosyntacticCategory 
ihm	Noun MorphosyntacticCategory 
die	Determiner PronounOrDeterminer MorphosyntacticCategory 
krank	Adverb MorphosyntacticCategory 
und	Preposition Adposition MorphosyntacticCategory 
sprach	Verb MorphosyntacticCategory 
Herr	Noun MorphosyntacticCategory 
ich	Noun MorphosyntacticCategory 
nicht	CoordinatingConjunction Conjunction MorphosyntacticCategory 
habe	Verb MorphosyntacticCategory 
keinen	Determiner PronounOrDeterminer MorphosyntacticCategory 
Menschen	Noun MorphosyntacticCategory 
Der	Noun MorphosyntacticCategory 
mir	Noun MorphosyntacticCategory 
sende	Noun MorphosyntacticCategory 
in	Noun MorphosyntacticCategory 
den	Noun MorphosyntacticCategory 
dich	Adjective MorphosyntacticCategory 
so	Adverb MorphosyntacticCategory 
wenn	Adverb MorphosyntacticCategory 
daß	Determiner PronounOrDeterminer MorphosyntacticCategory 
Wasser	Noun MorphosyntacticCategory 
bewegt	Adverb MorphosyntacticCategory 
Wort	Noun MorphosyntacticCategory 
denn	CoordinatingConjunction Conjunction MorphosyntacticCategory 
so	Adverb MorphosyntacticCategory 
wenn	Adverb MorphosyntacticCategory 
ich	Noun MorphosyntacticCategory 
komme	Verb MorphosyntacticCategory 
so	Adverb MorphosyntacticCategory 
steigt	Verb MorphosyntacticCategory 
ein	Determiner PronounOrDeterminer MorphosyntacticCategory 
anderer	Noun MorphosyntacticCategory 
vor	Preposition Adposition MorphosyntacticCategory 
mir	Noun MorphosyntacticCategory 
in	Preposition Adposition MorphosyntacticCategory 
	
und	SubordinatingConjunction Conjunction MorphosyntacticCategory 
ihr	Noun MorphosyntacticCategory 
nicht	Adverb MorphosyntacticCategory 
kennen	Verb MorphosyntacticCategory 
seiner	Verb MorphosyntacticCategory 
nicht	CoordinatingConjunction Conjunction MorphosyntacticCategory 
sondern	Preposition Adposition MorphosyntacticCategory 
ich	Noun MorphosyntacticCategory 
erkenne	Verb MorphosyntacticCategory 
ihnen	Noun MorphosyntacticCategory 
rede	Verb MorphosyntacticCategory 
ich	Noun MorphosyntacticCategory 
daß	Noun MorphosyntacticCategory 
ich	Noun MorphosyntacticCategory 
seiner	Verb MorphosyntacticCategory 
nicht	CoordinatingConjunction Conjunction MorphosyntacticCategory 
nicht	CoordinatingConjunction Conjunction MorphosyntacticCategory 
bekannte	Verb MorphosyntacticCategory 
so	Adverb MorphosyntacticCategory 
würde	Verb MorphosyntacticCategory 
ich	Noun MorphosyntacticCategory 
gelich	Noun MorphosyntacticCategory 
eurem	Noun MorphosyntacticCategory 
Lügner	Noun MorphosyntacticCategory 
sondern	Adverb MorphosyntacticCategory 
ich	Noun MorphosyntacticCategory 
weiß	Verb MorphosyntacticCategory 
ihnen	Noun MorphosyntacticCategory 
und	Preposition Adposition MorphosyntacticCategory 
halte	SubordinatingConjunction Conjunction MorphosyntacticCategory 
seine	Verb MorphosyntacticCategory 
Wort	Noun MorphosyntacticCategory 
	
Abraham	Noun MorphosyntacticCategory 
eure	Determiner PronounOrDeterminer MorphosyntacticCategory 
Vater	Noun MorphosyntacticCategory 
Freude	Noun MorphosyntacticCategory 
sich	Noun MorphosyntacticCategory 
Was	SubordinatingConjunction Conjunction MorphosyntacticCategory 
der	Noun MorphosyntacticCategory 
meinen	Determiner PronounOrDeterminer MorphosyntacticCategory 
Tag	Noun MorphosyntacticCategory 
Tag	Noun MorphosyntacticCategory 
und	Verb MorphosyntacticCategory 
der	Noun MorphosyntacticCategory 
sah	Verb MorphosyntacticCategory 
ihnen	Noun MorphosyntacticCategory 
und	Adjective MorphosyntacticCategory 
ward	Verb MorphosyntacticCategory 
gefreut	Adjective MorphosyntacticCategory 
	
Der	Determiner PronounOrDeterminer MorphosyntacticCategory 
Engel	CoordinatingConjunction Conjunction MorphosyntacticCategory 
Gottes	Determiner PronounOrDeterminer MorphosyntacticCategory 
nach	Preposition Adposition MorphosyntacticCategory 
der	Determiner PronounOrDeterminer MorphosyntacticCategory 
stieg	Noun MorphosyntacticCategory 
gewissen	Adjective MorphosyntacticCategory 
Zeiten	Noun MorphosyntacticCategory 
an	Verb MorphosyntacticCategory 
den	Noun MorphosyntacticCategory 
dich	Adjective MorphosyntacticCategory 
NULL	Noun MorphosyntacticCategory 
Fieber	Verb MorphosyntacticCategory 
NULL	Verb MorphosyntacticCategory 
und	Verb MorphosyntacticCategory 
daß	Determiner PronounOrDeterminer MorphosyntacticCategory 
Wasser	Noun MorphosyntacticCategory 
ward	Verb MorphosyntacticCategory 
bewegt	Adverb MorphosyntacticCategory 
und	Preposition Adposition MorphosyntacticCategory 
Wer	Noun MorphosyntacticCategory 
den	Noun MorphosyntacticCategory 
hineinstieg	Adverb MorphosyntacticCategory 
in	Adverb MorphosyntacticCategory 
den	Noun MorphosyntacticCategory 
dich	Adjective MorphosyntacticCategory 
gewissen	Verb MorphosyntacticCategory 
nach	Preposition Adposition MorphosyntacticCategory 
der	Determiner PronounOrDeterminer MorphosyntacticCategory 
welcherlei	Noun MorphosyntacticCategory 
des	Determiner PronounOrDeterminer MorphosyntacticCategory 
Wassers	Noun MorphosyntacticCategory 
Der	Determiner PronounOrDeterminer MorphosyntacticCategory 
ward	Verb MorphosyntacticCategory 
gesund	Verb MorphosyntacticCategory 
von	Preposition Adposition MorphosyntacticCategory 
werfe	Noun MorphosyntacticCategory 
suche	Noun MorphosyntacticCategory 
der	Noun MorphosyntacticCategory 
war	Verb MorphosyntacticCategory 
behaftet	Adjective MorphosyntacticCategory 
	
Da	Noun MorphosyntacticCategory 
antwortete	Verb MorphosyntacticCategory 
